kategori,keluhan,urgensi
FASILITAS,"min, parkiran gedung a lantai 2 gaada petugas tolong diatur lebih baik",RENDAH
KEMAHASISWAAN,"informasi program beasiswa tidak disosialisasikan dengan baik, mhs banyak yang tidak tahu",TINGGI
KEUANGAN,"prosedur pengembalian dana tidak transparan, menghambat proses akademik",RENDAH
FASILITAS,"kursi di gedung mipa udah lama sudah tidak layak pakai, kapan diganti?",RENDAH
JARINGAN_IT,"bandwidth wifi kampus tidak memadai, tidak cukup untuk semua mhs",RENDAH
AKADEMIK,portal mhs sering datanya hilang waktu masa krs,TINGGI
LAINNYA,"pintu masuk utama pintunya ancur, sering terlelet kls",SEDANG
LAINNYA,"gerbang 2 pintunya ancur, sering terlelet kls",SEDANG
FASILITAS,"kursi di gedung a lantai 1 udah lama kayunya sudah lapuk, kapan diganti?",RENDAH
FASILITAS,"ac di ruang kls lantai 2 udah lama nda diperbaiki, kurang dingin",RENDAH
JARINGAN_IT,wifi di gedung fh sering disconnect apalagi semua mhs pakai,RENDAH
JARINGAN_IT,internet di gedung a lantai 2 gabisa diandalkan padahal butuh buat kumpul tugas,RENDAH
KEMAHASISWAAN,"senioritas di prodi masih bgt kental, membuat mhs baru tertekan",RENDAH
KEUANGAN,"transparansi anggaran kegiatan mhs bgt minim, mhs tidak tahu bagaimana seleksinya",RENDAH
KEMAHASISWAAN,"layanan unit kemhsan sering tutup, pengurusan jadi bgt lama",RENDAH
FASILITAS,"kebersihan prodi akuntansi sampahnya menumpuk, tidak nyaman berada di sini",RENDAH
KEUANGAN,"dana kegiatan mhs tidak transparan penggunaannya, mhs dirugikan",RENDAH
JARINGAN_IT,"jaringan di prodi matematika bapuk ga stabil, susah akses internet",SEDANG
FASILITAS,"gaada ruang istirahat di gedung b lantai 3, padahal bgt dibutuhkan",RENDAH
LAINNYA,"lapangan bola tidak terawat, mhs gabisa olahraga gratis",RENDAH
LAINNYA,"lapangan badminton ancur, mhs gabisa olahraga gratis",SEDANG
AKADEMIK,sistem krs sering timeout terutama saat uas,KRITIS
FASILITAS,"ac di gedung b lantai 3 tidak berfungsi, jadi gerah minta ampun",RENDAH
KEMAHASISWAAN,"organisasi kampus tidak aktif, gaada wadah aspirasi mhs",RENDAH
FASILITAS,"itu hee sudah bagus maunya ada tempat dudukÂ² di lantai atas sama lantai bawah, cuma kurang colokan beh, maunya bgus sekali kalau colokan nya ada",RENDAH
KEMAHASISWAAN,"kegiatan lomba antar prodi informasinya tidak merata, pengurusan jadi bgt lama",RENDAH
AKADEMIK,"ruang kls tidak kondusif, mhs jadi malas",RENDAH
JARINGAN_IT,"jaringan di gedung b lantai 2 sering putus-putus, susah akses internet",RENDAH
KEUANGAN,"transparansi anggaran kegiatan mhs bgt minim, mhs tidak tahu siapa yang berhak",RENDAH
KEMAHASISWAAN,"informasi program beasiswa hanya di grup tertentu, mhs banyak yang tidak tahu",TINGGI
AKADEMIK,"nilai gabisa diakses di portal, proses akademik jadi terlelet",SEDANG
LAINNYA,"gerbang gerbang 1 gaada sistem akses, tidak aman soalnya siapa saja bisa masuk",RENDAH
JARINGAN_IT,wifi kampus lemot parah apalagi kalau jam kls,SEDANG
FASILITAS,"min, wc di auditorium kondisinya tidak terawat, tolong segera diperbaiki",RENDAH
JARINGAN_IT,"wifi gedung b lantai 2 sering disconnect, kls online terganggu",RENDAH
FASILITAS,"parkiran prodi akuntansi tidak muat, sering ada yang ditabrak",RENDAH
JARINGAN_IT,"wifi gedung a lantai 1 gabisa dipakai, susah download materi kls",TINGGI
JARINGAN_IT,spada gabisa diakses saat masa uts/uas,KRITIS
FASILITAS,"plafon ruangan 1.2 sudah retak, khawatir mhs tidak nyaman",RENDAH
JARINGAN_IT,koneksi di gedung b lantai 1 putus-putus saat masa krs,TINGGI
JARINGAN_IT,wifi kampus lemot parah apalagi kalau banyak yang konek,SEDANG
AKADEMIK,"nilai di portal gaada penjelasan, proses jadi terlelet",SEDANG
AKADEMIK,"spada lemot parah, susah akses forum diskusi",SEDANG
FASILITAS,"remot ac gedung b lantai 1 cuma 1 untuk 3 lantai, susah hidupinnya",RENDAH
LAINNYA,"area koridor antar gedung gaada fasilitas, tidak nyaman buat mhs",RENDAH
LAINNYA,"kantin belakang gedung b tidak higienis, mhs susah makan siang",RENDAH
KEMAHASISWAAN,"pengurusan transkip nilai sementara butuh lebih dari 2 minggu, bgt lama",RENDAH
KEMAHASISWAAN,"layanan bem jarang beroperasi, proses administrasi terhambat",RENDAH
KEMAHASISWAAN,"sosialisasi prosedur dokumen hanya di grup tertentu, banyak yang ketinggalan",RENDAH
KEUANGAN,ukt tidak sebanding fasilitas tapi fasilitasnya jauh dari layak,TINGGI
FASILITAS,"banyak kursi di lab kimia yang gaada mejanya, belajarnya terganggu",RENDAH
LAINNYA,"gerbang gerbang 1 jarang dibuka, tidak efisien",RENDAH
FASILITAS,"parkiran gedung fh gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
KEUANGAN,"biaya penggunaan lapangan dibebankan ke mhs, seharusnya tidak",RENDAH
FASILITAS,"min, gedung bersama di fisip udah ada kipasnya, tpi ga bisa ngilangin kegerahan kalau siang hari, soalnya kipasnya cuma 1. wi-fi? ga ada, jadi kalau nunggu dosen bosan bgt, gatau mau ngapain",RENDAH
FASILITAS,"kamar mandi gedung a lantai 1 gabisa dipakai, jadi malas kls apalagi kalau kebelet",RENDAH
KEUANGAN,"lapangan bola yang sudah di percantik dikenakan pembayaran 10 ribu per sekali masuk walaupun itu mhs uho, seharusnya gratis",RENDAH
LAINNYA,"kebersihan koridor gedung jarang dibersihkan, mencerminkan citra kampus yang buruk",RENDAH
AKADEMIK,"dosen sering reschedule mendadak, nilai terancam",TINGGI
AKADEMIK,"informasi jadwal ujian mendadak, stress bgt ngurusnya",TINGGI
KEMAHASISWAAN,"informasi kompetisi mhs tidak disebarkan merata, pengurusan jadi lama",RENDAH
FASILITAS,"fasilitas prodi matematika sudah bgt ketinggalan, kami sudah bayar ukt tepat waktu",TINGGI
AKADEMIK,"spada sering down waktu masa krs, susah akses materi",TINGGI
LAINNYA,"keamanan gedung saat weekend gaada satpam, sering ada kehilangan motor",KRITIS
FASILITAS,"gedung fh panas bgt soalnya cuma pajangan, capek bgt dikelas",RENDAH
KEUANGAN,"dana penelitian mhs tidak transparan penggunaannya, mhs yang kena dampaknya",RENDAH
KEUANGAN,"transparansi biaya resmi kampus bgt minim, mhs tidak tahu apa saja biaya resmi",RENDAH
JARINGAN_IT,"koneksi internet gedung c gabisa diandalkan, gabisa akses spada",RENDAH
KEMAHASISWAAN,respon staf kurang menyenangkan seperti julid,RENDAH
KEMAHASISWAAN,"fasilitas lapangan olahraga terlalu kecil, mhs jadi kesal",RENDAH
KEMAHASISWAAN,"informasi program pertukaran pelajar hanya di grup tertentu, mhs banyak yang tidak tahu",RENDAH
KEMAHASISWAAN,"fasilitas ruang rapat mhs tidak memadai, proses administrasi terhambat",RENDAH
LAINNYA,"atm/ bank kampus sering kosong uangnya, mhs harus keluar kampus untuk ke atm",RENDAH
KEUANGAN,"dana praktikum tidak cair tepat waktu, mhs dirugikan",RENDAH
KEUANGAN,"prosedur administrasi keuangan tidak transparan, mhs urgent kesusahan",RENDAH
FASILITAS,lahan parkir di lab kimia sempit bgt jadi sering telat kls,RENDAH
FASILITAS,"kamar mandi gedung b lantai 1 airnya mati, terpaksa ke gedung lain yang jauh apalagi kalau kebelet",SEDANG
KEUANGAN,"pengumuman pengumuman beasiswa tidak diinformasikan jelas, mhs kaget",TINGGI
LAINNYA,"keamanan gedung saat weekend gaada satpam, mhs tidak merasa aman",RENDAH
AKADEMIK,"krs matkul yang tersedia tidak sesuai kurikulum, banyak yang ketinggalan informasi",TINGGI
KEMAHASISWAAN,"kegiatan ospek kurang dukungan kampus, pengurusan jadi bgt lama",RENDAH
FASILITAS,"banyak kursi di gedung fh yang banyak yang hilang, nilai bisa jelek soalnya tidak konsen",RENDAH
JARINGAN_IT,wifi kampus gabisa dipakai apalagi kalau semua mhs pakai,RENDAH
JARINGAN_IT,"wifi prodi informatika sering disconnect, gabisa akses spada",SEDANG
LAINNYA,"area taman kampus kotor dan tidak terawat, kurang nyaman buat mhs",SEDANG
KEMAHASISWAAN,"kegiatan lomba antar prodi kurang dukungan kampus, pengurusan jadi bgt lama",RENDAH
FASILITAS,lahan parkir di gedung c tidak teratur jadi sering telat kls,RENDAH
KEMAHASISWAAN,"kegiatan lomba antar prodi kurang dukungan kampus, banyak yang tidak terlayani",RENDAH
KEMAHASISWAAN,"informasi program beasiswa tidak disebarkan merata, proses terhambat",TINGGI
JARINGAN_IT,"jaringan di gedung a lantai 2 bgt buruk, susah akses internet",RENDAH
LAINNYA,"transportasi gaada jalur sepeda, sering terlelet",SEDANG
LAINNYA,"lingkungan sekitar gedung c kurang terawat, tidak mendukung kreativitas mhs",RENDAH
FASILITAS,"kursi di auditorium udah lama sudah tidak layak pakai, kapan diganti?",RENDAH
FASILITAS,"jendela aula gedung c gaada gordennya, silau bgt saat kls",RENDAH
LAINNYA,"area koridor antar gedung gaada fasilitas pendukung, kurang nyaman buat mhs",RENDAH
FASILITAS,"fasilitas gedung mipa sudah bgt ketinggalan, kami sudah bayar ukt tepat waktu",TINGGI
JARINGAN_IT,zoom kls online sering lag soalnya wifi gedung b lantai 2 kurang untuk semua mhs,RENDAH
FASILITAS,"lab komputer mipa kondisinya pengap, gabisa praktik dengan benar",RENDAH
FASILITAS,"jendela ruang kelas b2 gaada gordennya, hujan masuk ke kelas",RENDAH
FASILITAS,"kebersihan gedung a lantai 1 sampahnya menumpuk, baunya tidak enak",RENDAH
JARINGAN_IT,"wifi fakultas ekonomi lemot parah, terpaksa pakai kuota sendiri",SEDANG
FASILITAS,"colokan di ruangan 3.2 tidak berfungsi, padahal butuh buat ngecas",RENDAH
AKADEMIK,"nilai tidak sesuai ekspektasi tanpa penjelasan, stress bgt ngurusnya",RENDAH
FASILITAS,"ac fakultas hukum hanya pajangan, sebgian sudah di perbaiki sih cuma masih belum maksimal, kami sudha bayar ukt kewajiban kami sudah kami penuhi. fakultas sudh menerima hak dan tolong kewajibannya segera di penuhi (penyediaan fasilitas yang memadai buat seluruh mhs fh uho)",TINGGI
KEUANGAN,"pembayaran ukt prosedurnya rumit, mhs jadi bingung",TINGGI
JARINGAN_IT,koneksi di gedung rektorat sering putus padahal butuh buat akses spada,RENDAH
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs bgt kurang, banyak yang ketinggalan",RENDAH
LAINNYA,sampah di koridor gedung menumpuk setiap akhir pekan,RENDAH
KEUANGAN,biaya parkir di area kampus seharusnya tidak dibebankan ke mhs,RENDAH
FASILITAS,"parkiran prodi informatika gada atapnya, kendaraan bisa lecet-lecet",SEDANG
LAINNYA,"kebersihan koridor gedung jarang dibersihkan, bisa jadi sumber penyakit",RENDAH
FASILITAS,"lab matematika kondisinya tidak terawat, gabisa praktik dengan benar",SEDANG
LAINNYA,"gaada atm di area kampus, padahal bgt dibutuhkan",RENDAH
JARINGAN_IT,server sistem informasi kampus sering down waktu masa krs,TINGGI
LAINNYA,"atm/ bank kampus sering kosong uangnya, merepotkan saat butuh dana mendadak",RENDAH
AKADEMIK,"sistem siakad ui-nya membingungkan, tugas jadi terlelet dikumpulkan",SEDANG
LAINNYA,"kantin pusat jamnya singkat, antrean panjang",SEDANG
FASILITAS,"plafon ruangan 1.2 sudah retak, khawatir celaka kalau tiba-tiba jatuh",RENDAH
JARINGAN_IT,"jangkauan wifi fakultas ekonomi tidak luas, terpaksa pakai kuota sendiri",TINGGI
FASILITAS,lahan parkir di gedung a lantai 3 berantakan jadi sering telat kls,RENDAH
KEMAHASISWAAN,"info kompetisi mhs cuma nyebar di grup tertentu, yang lain tidak tahu",RENDAH
KEMAHASISWAAN,"fasilitas ruang ukm terlalu kecil, proses administrasi terhambat",RENDAH
JARINGAN_IT,"bandwidth wifi kampus habis di jam sibuk, tidak cukup untuk semua mhs",RENDAH
KEMAHASISWAAN,"senioritas di fakultas sudah melewati batas, membuat mhs baru tertekan",RENDAH
FASILITAS,"pipa saluran ac di ruang kls lantai 2 bocor, colokan jadi bahaya kena air",RENDAH
AKADEMIK,"ruang kls tidak kondusif, susah konsen belajar",RENDAH
AKADEMIK,"website sistem krs sering eror, nilai terancam",TINGGI
JARINGAN_IT,"gaada wifi sama sekali di gedung b lantai 2, kls online terganggu",RENDAH
FASILITAS,"ac prodi akuntansi cuma pajangan, gak optimal padahal masa bayar ukt tapi fasilitas gini",TINGGI
FASILITAS,"prodi matematika panas bgt soalnya mati total, nilai bisa jelek soalnya tidak konsen",TINGGI
JARINGAN_IT,zoom kls online sering lag soalnya wifi lab komputer tidak memadai,RENDAH
JARINGAN_IT,zoom kls online sering lag soalnya wifi gedung b lantai 1 bgt terbatas,RENDAH
LAINNYA,gerbang gerbang 2 gaada satpam sehingga antrean panjang,SEDANG
LAINNYA,"transportasi akses transportasi umum susah, tidak ramah lingkungan",RENDAH
LAINNYA,"lapangan basket ancur, gabisa dimanfaatkan optimal",SEDANG
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs tidak merata, banyak yang terlewat informasinya",RENDAH
JARINGAN_IT,portal akademik timeout terus soalnya sering down,TINGGI
LAINNYA,"lingkungan sekitar gedung c minim fasilitas publik, tidak mendukung kreativitas mhs",RENDAH
AKADEMIK,"krs gabisa diakses saat masa pengisian, banyak yang ketinggalan info",TINGGI
AKADEMIK,web akademik sering crash tiba-tiba waktu masa krs,TINGGI
KEMAHASISWAAN,"organisasi kegiatannya monoton, potensi mhs tersia-sia",RENDAH
KEMAHASISWAAN,"senioritas di organisasi kampus tidak ditangani dengan baik, membuat mhs baru tertekan",RENDAH
FASILITAS,"parkiran prodi matematika tidak teratur, sering ada yang ditabrak",SEDANG
FASILITAS,"tangga gedung rektorat beberapa anak tangganya ancur, sering ada yang jatuh",SEDANG
KEUANGAN,"prosedur pembayaran wisuda tidak jelas alurnya, mhs jadi bingung",TINGGI
KEMAHASISWAAN,"informasi kegiatan kemhsan tidak disebarkan merata, mhs jadi kesal",RENDAH
KEMAHASISWAAN,"layanan layanan administrasi mhs responnya lelet, pengurusan jadi bgt lama",SEDANG
JARINGAN_IT,wifi di gedung b lantai 1 kayak tidak dibayar apalagi siang hari,RENDAH
AKADEMIK,"informasi prosedur skripsi mendadak, proses akademik jadi terlelet",TINGGI
FASILITAS,"gaada ruang istirahat di gedung mipa, padahal bgt dibutuhkan",RENDAH
KEMAHASISWAAN,"pengurusan surat rekomendasi makan waktu berhari-hari, bgt tidak efisien",RENDAH
JARINGAN_IT,internet di perpus sering putus padahal butuh buat download materi,TINGGI
FASILITAS,"wc gedung b lantai 3 airnya tidak mengalir, mhs jadi susah kalau kebelet",RENDAH
FASILITAS,"gedung b lantai 3 panas bgt soalnya netes airnya, capek bgt dikelas",RENDAH
FASILITAS,lahan parkir di fakultas ekonomi tidak muat jadi sering telat kls,RENDAH
KEUANGAN,"pengumuman deadline pembayaran ukt tidak sampai ke semua mhs, mhs kaget",KRITIS
AKADEMIK,"sistem portal mhs ui-nya bgt tidak user-friendly, proses akademik terhambat",RENDAH
JARINGAN_IT,koneksi di perpus putus-putus saat masa uas,TINGGI
KEMAHASISWAAN,"pengurusan ktm butuh seminggu lebih, bgt lama",RENDAH
AKADEMIK,sistem krs sering gabisa diakses waktu masa krs,TINGGI
LAINNYA,"kebersihan area kampus jarang dibersihkan, tidak nyaman beraktivitas",RENDAH
FASILITAS,"gaada atm di prodi informatika, padahal bgt dibutuhkan",SEDANG
KEMAHASISWAAN,"pengurusan dokumen beasiswa makan waktu berminggu-minggu, bgt tidak efisien",TINGGI
LAINNYA,"pintu masuk utama gaada sistem akses, tidak aman",RENDAH
KEMAHASISWAAN,"staff hima julidnya keterlaluan, tidak sesuai standar pelayanan",RENDAH
FASILITAS,"plafon ruang seminar hampir roboh, khawatir mhs tidak nyaman",RENDAH
LAINNYA,"kebersihan sekitar parkiran kumuh, baunya tidak enak",RENDAH
JARINGAN_IT,upload tugas di spada gagal terus soalnya internet lab komputer gabisa konek,RENDAH
FASILITAS,"gaada lift/eskalator di gedung fisip, padahal bgt dibutuhkan",RENDAH
KEMAHASISWAAN,"fasilitas lapangan olahraga terlalu kecil, pengurusan jadi bgt lama",RENDAH
KEMAHASISWAAN,"organisasi tidak aktif, mhs jadi tidak berkembang",RENDAH
LAINNYA,"gerbang pintu masuk utama sering macet di satu pintu saja, sering terlelet kls",SEDANG
LAINNYA,"kebersihan area kantin kumuh, bisa jadi sumber penyakit",RENDAH
JARINGAN_IT,"jaringan di prodi matematika lemot parah, susah akses internet",SEDANG
FASILITAS,"ac gedung a lantai 3 cuma pajangan, gak optimal padahal masa bayar ukt tapi fasilitas gini",TINGGI
LAINNYA,"keamanan area parkir kurang terjaga, orang luar bebas masuk",RENDAH
KEUANGAN,"pembayaran biaya praktikum terjadi kesalahan administrasi, menghambat proses akademik",RENDAH
JARINGAN_IT,server spada lelet bgt waktu masa uas,KRITIS
FASILITAS,"tolong ac prodi informatika segera diperbaiki, gak optimal dan mhs tidak konsen belajar",SEDANG
KEMAHASISWAAN,"kegiatan ospek waktunya tidak pas, mhs jadi tidak antusias",RENDAH
LAINNYA,"kantin pusat jamnya singkat, terpaksa keluar kampus",RENDAH
FASILITAS,"remot ac fakultas hukum cuma 1 untuk 3 lantai, susah hidupinnya",RENDAH
FASILITAS,"banyak kursi di gedung a lantai 1 yang ancur, mhs jadi malas masuk kls",SEDANG
FASILITAS,"tolong ac fakultas teknik segera diperbaiki, netes airnya dan belajarnya tidak nyaman",RENDAH
FASILITAS,"fasilitas lab kimia tidak memadai, padahal kita sudah bayar ukt",TINGGI
LAINNYA,"kebersihan area kampus gaada tempat sampah, tidak nyaman untuk beraktivitas",RENDAH
LAINNYA,"area area belajar outdoor gaada fasilitas pendukung, kurang nyaman buat mhs",RENDAH
KEMAHASISWAAN,bem kurang aktif menyuarakan aspirasi mhs soal prosedur dokumen,RENDAH
FASILITAS,"lampu di lab komputer mipa sering turun saklarnya, ruangan jadi gelap",RENDAH
LAINNYA,"keamanan area kampus malam gaada satpam, sering kehilangan barang",RENDAH
JARINGAN_IT,"server sistem informasi kampus bapuk ga stabil pas masa uts, kls online terganggu",KRITIS
KEMAHASISWAAN,"pengurusan surat keterangan lulus butuh lebih dari 2 minggu, bgt lama",RENDAH
LAINNYA,"kantin area food court kampus tempatnya sempit dan panas, mhs susah makan siang",RENDAH
AKADEMIK,"spada gabisa diakses saat saat uas, nilai terancam",KRITIS
JARINGAN_IT,"jangkauan wifi gedung a lantai 1 tidak luas, susah download materi kls",TINGGI
FASILITAS,"min, parkiran gedung b lantai 1 tidak teratur tolong diatur lebih baik",RENDAH
KEUANGAN,"prosedur pembayaran ukt tidak jelas alurnya, mhs jadi bingung",TINGGI
LAINNYA,"keamanan area parkir cctv tidak berfungsi, tidak kondusif malam hari",RENDAH
LAINNYA,"kebersihan area kantin bgt kotor, tidak nyaman beraktivitas",SEDANG
LAINNYA,"lapangan futsal gaada penerangan malam, gabisa dimanfaatkan optimal",TINGGI
FASILITAS,"kamar mandi gedung a lantai 1 kotor parah, jadi malas kls apalagi kalau kebelet",SEDANG
AKADEMIK,siakad sering crash tiba-tiba waktu masa krs,TINGGI
FASILITAS,"wc gedung d airnya tidak mengalir, mhs jadi susah kalau kebelet",RENDAH
AKADEMIK,"sistem spada terlalu ribet, proses akademik terhambat",RENDAH
LAINNYA,web siaqad yang selalu setiap tahunnya eror bermasalah heran deh. dan ada juga beberapa kelas fasilitas ac-nya tidak memadai apa lagi di ruangan lebih banyak mhs panasnya melarat sekali bahkan mau belajar pun tidak fokus,TINGGI
AKADEMIK,"krs matkul yang tersedia tidak sesuai kurikulum, mhs dirugikan",TINGGI
JARINGAN_IT,"wifi gedung b lantai 3 bapuk ga stabil, terpaksa pakai kuota sendiri",RENDAH
AKADEMIK,"website portal mhs gabisa diakses, proses akademik terhambat",RENDAH
LAINNYA,"keamanan area parkir gaada satpam, mhs tidak merasa aman",RENDAH
LAINNYA,jalan di uho dekat auditorium baru jelek berlubang,RENDAH
KEMAHASISWAAN,"pengurusan surat keterangan aktif makan waktu lebih dari 2 minggu, bgt tidak efisien",RENDAH
AKADEMIK,"informasi jadwal seminar mendadak, banyak yang ketinggalan informasi",RENDAH
JARINGAN_IT,"jangkauan wifi gedung a lantai 3 hanya di spot tertentu, susah download materi kls",TINGGI
AKADEMIK,sistem krs sering gabisa diakses waktu saat jam sibuk,TINGGI
LAINNYA,"kebersihan koridor gedung jarang dibersihkan, baunya tidak enak",RENDAH
AKADEMIK,"dosen sering reschedule mendadak, proses akademik terhambat",RENDAH
KEMAHASISWAAN,"program mentoring akademik kuota yang terlalu sedikit, mhs kurang diuntungkan",RENDAH
AKADEMIK,"informasi prosedur skripsi mendadak bgt, mhs dirugikan",TINGGI
LAINNYA,"lapangan futsal tidak terawat, gaada wadah kegiatan olahraga mhs",TINGGI
KEMAHASISWAAN,"senioritas di himpunan membuat mhs baru tidak nyaman, membuat mhs baru tertekan",RENDAH
LAINNYA,"keamanan gedung saat weekend cctv tidak berfungsi, tidak kondusif malam hari",RENDAH
KEUANGAN,ada biaya tidak jelas untuk kegiatan tertentu yang tidak semestinya,RENDAH
KEMAHASISWAAN,"staff bagian kemhsan tidak responsif, mhs jadi tidak nyaman",RENDAH
LAINNYA,"area ruang tunggu gaada fasilitas pendukung, kurang nyaman buat mhs",RENDAH
LAINNYA,"jalan di dekat auditorium sempit bgt, berbahaya buat motor",RENDAH
FASILITAS,"colokan di ruang kls lantai 2 tidak berfungsi, padahal butuh buat ngecas",RENDAH
FASILITAS,"tolong ac fakultas ekonomi segera diperbaiki, panasnya parah dan belajarnya tidak nyaman",RENDAH
FASILITAS,"tolong ac gedung d segera diperbaiki, netes airnya dan ruangan jadi gerah bgt",RENDAH
FASILITAS,"pipa saluran ac di lab komputer mipa bocor, colokan jadi bahaya kena air",RENDAH
KEMAHASISWAAN,unit kemhsan tidak konsisten saat mhs butuh bantuan,RENDAH
AKADEMIK,sistem krs sering datanya hilang terutama masa krs,TINGGI
FASILITAS,"fasilitas fakultas teknik sudah bgt ketinggalan, kami sudah bayar ukt tepat waktu",TINGGI
JARINGAN_IT,"sinyal di gedung b lantai 1 gaada sama sekali, harus keluar ruangan dulu",RENDAH
KEUANGAN,"penggunaan dana kkn tidak transparan, mhs tidak tahu kemana uangnya",RENDAH
KEMAHASISWAAN,"senioritas di unit kemhsan masih bgt kental, membuat mhs baru tertekan",RENDAH
KEMAHASISWAAN,"kegiatan program mentoring kurang dukungan kampus, mhs jadi kesal",RENDAH
LAINNYA,"gerbang pintu masuk utama pintunya ancur, sering terlelet kls",SEDANG
AKADEMIK,"sistem sistem krs membingungkan, tugas jadi terlelet",TINGGI
JARINGAN_IT,"internet di prodi akuntansi sering putus, gabisa kumpul tugas online",RENDAH
LAINNYA,"keamanan area kampus malam hari sering ada kehilangan barang, sering ada kehilangan motor",KRITIS
KEMAHASISWAAN,"layanan sekretariat sering tutup, proses terhambat",RENDAH
JARINGAN_IT,"wifi fakultas ekonomi lemot parah, susah download materi kls",TINGGI
KEUANGAN,"informasi beasiswa susah diakses informasinya, mhs kurang mampu jadi dirugikan",TINGGI
JARINGAN_IT,"wifi gedung b lantai 1 sering disconnect, tidak produktif di kampus",TINGGI
LAINNYA,"lapangan futsal ancur, lapangan gabisa dimanfaatkan optimal",TINGGI
KEUANGAN,"informasi beasiswa mendadak diumumkan, hanya orang tertentu yang tahu",TINGGI
LAINNYA,tempat parkiran panas kendaraan bisa terjemur,RENDAH
AKADEMIK,"nilai gabisa diakses di portal, mhs jadi bingung",SEDANG
KEUANGAN,"prosedur pengembalian dana tidak transparan, prosesnya jadi bgt lama",RENDAH
KEUANGAN,"pengumuman deadline pembayaran ukt mendadak bgt, mhs yang urgent jadi kesusahan",TINGGI
JARINGAN_IT,"jaringan di fakultas ekonomi bapuk ga stabil, susah akses internet",RENDAH
KEMAHASISWAAN,"senioritas di himpunan masih melewati batas, mhs baru jadi tertekan",RENDAH
KEMAHASISWAAN,"staff layanan administrasi mhs tidak responsif, mhs jadi tidak nyaman",RENDAH
KEMAHASISWAAN,"staff bagian kemhsan melayani dengan malas-malasan, mhs jadi tidak nyaman",RENDAH
FASILITAS,"saklar di gedung b lantai 2 sering turun, jadi kls terganggu",RENDAH
KEMAHASISWAAN,"pengurusan surat rekomendasi butuh seminggu lebih, bgt lama",RENDAH
LAINNYA,"transportasi gaada shuttle bus kampus, biaya transportasi jadi membebani",RENDAH
KEMAHASISWAAN,"kegiatan program mentoring kurang dukungan kampus, proses administrasi terhambat",RENDAH
LAINNYA,"area ruang tunggu panas tidak teduh, tidak nyaman buat mhs",RENDAH
JARINGAN_IT,"server sistem informasi kampus bapuk ga stabil pas deadline tugas, kls online terganggu",KRITIS
FASILITAS,"plafon ruangan 2.3 sudah retak, khawatir celaka kalau tiba-tiba jatuh",RENDAH
JARINGAN_IT,"jangkauan wifi lab biologi terbatas bgt, gabisa akses spada",RENDAH
AKADEMIK,"gaada feedback nilai dari dosen, mhs jadi bingung",SEDANG
JARINGAN_IT,"wifi gedung a lantai 3 gabisa dipakai, tidak produktif di kampus",TINGGI
JARINGAN_IT,"sinyal di fakultas teknik hilang timbul, kls online jadi terganggu",RENDAH
FASILITAS,"wc prodi matematika gabisa dipakai, harus nahan lama bgt",SEDANG
KEMAHASISWAAN,"layanan bagian kemhsan pelayanannya kurang baik, proses administrasi terhambat",RENDAH
KEUANGAN,"prosedur pengajuan keringanan ukt tidak transparan, menghambat proses akademik",TINGGI
AKADEMIK,"materi kls sudah outdated, mhs susah belajar mandiri",RENDAH
FASILITAS,"parkiran gedung a lantai 2 gada atapnya, kendaraan bisa catnya jadi ancur",SEDANG
JARINGAN_IT,wifi kampus gabisa konek apalagi kalau acara kampus,RENDAH
KEMAHASISWAAN,"staff layanan administrasi mhs tidak responsif, pelayanan publik yang buruk",RENDAH
KEMAHASISWAAN,"informasi kompetisi mhs tidak disebarkan merata, proses terhambat",RENDAH
FASILITAS,"lampu di ruang kelas b2 tidak berfungsi, gabisa presentasi pakai proyektor",RENDAH
FASILITAS,"ruangan di gedung b hampir setiap kelas selalu ada kursi yang tidak punya meja atau mejanya ancur. kalau hanya duduk mungkin bisa, tapi untuk mencatat saat pembelajaran sedang berlangsung itu bgt menyulitkan.",SEDANG
JARINGAN_IT,"jaringan di gedung fh bgt buruk, susah akses internet",RENDAH
FASILITAS,"pintu wc gedung rektorat gabisa dikunci, bgt tidak nyaman",RENDAH
KEUANGAN,"pembayaran ukt terjadi kesalahan administrasi, prosesnya jadi bgt lama",TINGGI
KEUANGAN,"transparansi biaya-biaya resmi kampus kurang, mhs tidak tahu siapa yang berhak",RENDAH
AKADEMIK,"sistem portal mhs ui-nya susah dinavigasi, nilai terancam",TINGGI
KEMAHASISWAAN,"staff layanan administrasi mhs kurang ramah, malas mengurus keperluan ke sana",RENDAH
FASILITAS,"kursi di ruangan 3.1 kayunya sudah lapuk, susah nulis waktu kls",RENDAH
KEMAHASISWAAN,"program mentoring akademik tidak merata distribusinya, mhs kurang diuntungkan",RENDAH
JARINGAN_IT,"jaringan di fakultas teknik bgt buruk, susah akses internet",RENDAH
KEMAHASISWAAN,"layanan hima responnya lelet, proses administrasi terhambat",SEDANG
AKADEMIK,"jadwal kls bentrok dengan mata kls lain, proses akademik jadi terlelet",SEDANG
FASILITAS,"gedung a lantai 3 panas bgt soalnya mati total, susah konsen belajar",KRITIS
AKADEMIK,"ada dosen yang sering tidak masuk tanpa keterangan, itu tidak profesional",RENDAH
KEUANGAN,"dana penelitian mhs tidak cair tepat waktu, mhs dirugikan",RENDAH
